Station Name,Iso Code,Station ID,Date,Hour,Minute,Rain
Alex Muranda Livestock Development Centre,NA,31203,9/17/2023,4,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/17/2023,5,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/17/2023,6,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/17/2023,7,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/17/2023,8,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/17/2023,9,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/17/2023,10,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/17/2023,11,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/17/2023,12,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/17/2023,13,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/17/2023,14,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/17/2023,15,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/17/2023,16,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/17/2023,17,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/17/2023,18,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/17/2023,19,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/17/2023,20,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/17/2023,21,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/17/2023,22,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/17/2023,23,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/17/2023,24,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/18/2023,1,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/18/2023,2,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/18/2023,3,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/18/2023,4,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/18/2023,5,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/18/2023,6,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/18/2023,7,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/18/2023,8,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/18/2023,9,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/18/2023,10,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/18/2023,11,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/18/2023,12,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/18/2023,13,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/18/2023,14,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/18/2023,15,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/18/2023,16,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/18/2023,17,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/18/2023,18,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/18/2023,19,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/18/2023,20,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/18/2023,21,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/18/2023,22,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/18/2023,23,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/18/2023,24,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/19/2023,1,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/19/2023,2,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/19/2023,3,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/19/2023,4,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/19/2023,5,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/19/2023,6,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/19/2023,7,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/19/2023,8,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/19/2023,9,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/19/2023,10,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/19/2023,11,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/19/2023,12,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/19/2023,13,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/19/2023,14,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/19/2023,15,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/19/2023,16,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/19/2023,17,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/19/2023,18,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/19/2023,19,0,0.3
Alex Muranda Livestock Development Centre,NA,31203,9/19/2023,20,0,0.1
Alex Muranda Livestock Development Centre,NA,31203,9/19/2023,21,0,0.1
Alex Muranda Livestock Development Centre,NA,31203,9/19/2023,22,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/19/2023,23,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/19/2023,24,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/20/2023,1,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/20/2023,2,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/20/2023,3,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/20/2023,4,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/20/2023,5,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/20/2023,6,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/20/2023,7,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/20/2023,8,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/20/2023,9,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/20/2023,10,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/20/2023,11,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/20/2023,12,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/20/2023,13,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/20/2023,14,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/20/2023,15,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/20/2023,16,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/20/2023,17,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/20/2023,18,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/20/2023,19,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/20/2023,20,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/20/2023,21,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/20/2023,22,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/20/2023,23,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/20/2023,24,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/21/2023,1,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/21/2023,2,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/21/2023,3,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/21/2023,4,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/21/2023,5,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/21/2023,6,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/21/2023,7,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/21/2023,8,0,2.7
Alex Muranda Livestock Development Centre,NA,31203,9/21/2023,9,0,4.1
Alex Muranda Livestock Development Centre,NA,31203,9/21/2023,10,0,0.1
Alex Muranda Livestock Development Centre,NA,31203,9/21/2023,11,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/21/2023,12,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/21/2023,13,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/21/2023,14,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/21/2023,15,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/21/2023,16,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/21/2023,17,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/21/2023,18,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/21/2023,19,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/21/2023,20,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/21/2023,21,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/21/2023,22,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/21/2023,23,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/21/2023,24,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/22/2023,1,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/22/2023,2,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/22/2023,3,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/22/2023,4,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/22/2023,5,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/22/2023,6,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/22/2023,7,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/22/2023,8,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/22/2023,9,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/22/2023,10,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/22/2023,11,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/22/2023,12,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/22/2023,13,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/22/2023,14,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/22/2023,15,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/22/2023,16,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/22/2023,17,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/22/2023,18,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/22/2023,19,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/22/2023,20,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/22/2023,21,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/22/2023,22,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/22/2023,23,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/22/2023,24,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/23/2023,1,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/23/2023,2,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/23/2023,3,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/23/2023,4,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/23/2023,5,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/23/2023,6,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/23/2023,7,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/23/2023,8,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/23/2023,9,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/23/2023,10,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/23/2023,11,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/23/2023,12,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/23/2023,13,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/23/2023,14,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/23/2023,15,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/23/2023,16,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/23/2023,17,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/23/2023,18,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/23/2023,19,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/23/2023,20,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/23/2023,21,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/23/2023,22,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/23/2023,23,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/23/2023,24,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/24/2023,1,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/24/2023,2,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/24/2023,3,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/24/2023,4,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/24/2023,5,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/24/2023,6,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/24/2023,7,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/24/2023,8,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/24/2023,9,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/24/2023,10,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/24/2023,11,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/24/2023,12,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/24/2023,13,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/24/2023,14,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/24/2023,15,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/24/2023,16,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/24/2023,17,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/24/2023,18,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/24/2023,19,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/24/2023,20,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/24/2023,21,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/24/2023,22,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/24/2023,23,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/24/2023,24,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/25/2023,1,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/25/2023,2,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/25/2023,3,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/25/2023,4,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/25/2023,5,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/25/2023,6,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/25/2023,7,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/25/2023,8,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/25/2023,9,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/25/2023,10,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/25/2023,11,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/25/2023,12,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/25/2023,13,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/25/2023,14,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/25/2023,15,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/25/2023,16,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/25/2023,17,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/25/2023,18,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/25/2023,19,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/25/2023,20,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/25/2023,21,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/25/2023,22,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/25/2023,23,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/25/2023,24,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/26/2023,1,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/26/2023,2,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/26/2023,3,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/26/2023,4,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/26/2023,5,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/26/2023,6,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/26/2023,7,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/26/2023,8,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/26/2023,9,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/26/2023,10,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/26/2023,11,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/26/2023,12,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/26/2023,13,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/26/2023,14,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/26/2023,15,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/26/2023,16,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/26/2023,17,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/26/2023,18,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/26/2023,19,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/26/2023,20,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/26/2023,21,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/26/2023,22,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/26/2023,23,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/26/2023,24,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/27/2023,1,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/27/2023,2,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/27/2023,3,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/27/2023,4,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/27/2023,5,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/27/2023,6,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/27/2023,7,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/27/2023,8,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/27/2023,9,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/27/2023,10,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/27/2023,11,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/27/2023,12,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/27/2023,13,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/27/2023,14,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/27/2023,15,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/27/2023,16,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/27/2023,17,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/27/2023,18,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/27/2023,19,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/27/2023,20,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/27/2023,21,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/27/2023,22,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/27/2023,23,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/27/2023,24,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/28/2023,1,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/28/2023,2,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/28/2023,3,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/28/2023,4,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/28/2023,5,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/28/2023,6,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/28/2023,7,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/28/2023,8,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/28/2023,9,0,0
Alex Muranda Livestock Development Centre,NA,31203,9/28/2023,10,0,0
